,Hospital_ID,District_ID,Instrument_ID,Year_total_HD,Year_total_HI,Year_total_DI,Instument_Count,Annual_Projected_Revenue,Buy_or_not
0,Hospital 1,District 13,Instrument 2,11143.6,109923.71428571429,126076.28636363636,5.0,17164,1
1,Hospital 1,District 13,Instrument 3,11143.6,54307.0,25765.941964285714,5.0,655645,1
2,Hospital 1,District 13,Instrument 4,11143.6,1558.8333333333333,21466.09442724458,5.0,281452,1
3,Hospital 1,District 2,Instrument 2,1026.0,109923.71428571429,28469.62987012987,2.0,12199,1
4,Hospital 1,District 20,Instrument 2,95819.0,109923.71428571429,31891.211143695014,6.0,178128,1
5,Hospital 1,District 20,Instrument 3,95819.0,54307.0,36082.17345597898,6.0,305796,1
6,Hospital 1,District 20,Instrument 7,95819.0,7077.666666666667,7843.473584905661,6.0,5215,1
7,Hospital 1,District 20,Instrument 8,95819.0,18207.0,8481.058479532163,6.0,280140,1
8,Hospital 1,District 41,Instrument 2,15872.75,109923.71428571429,15395.28094302554,4.0,4320,1
9,Hospital 1,District 41,Instrument 3,15872.75,54307.0,26894.46508379888,4.0,792,1
10,Hospital 1,District 50,Instrument 2,186776.0,109923.71428571429,174719.4918918919,5.0,61301,1
11,Hospital 1,District 50,Instrument 3,186776.0,54307.0,22842.88888888889,5.0,137862,1
12,Hospital 1000,District 50,Instrument 2,71114.66666666667,29197.875,174719.4918918919,3.0,9715,1
13,Hospital 1000,District 50,Instrument 3,71114.66666666667,4445.6,22842.88888888889,3.0,2496,1
14,Hospital 1001,District 13,Instrument 2,24017.333333333332,14177.5,126076.28636363636,6.0,996,1
15,Hospital 1001,District 13,Instrument 5,24017.333333333332,14172.0,56086.90536723164,6.0,8496,1
16,Hospital 1001,District 20,Instrument 3,650.0,4692.0,36082.17345597898,3.0,1103,1
17,Hospital 1001,District 41,Instrument 2,1310.8,14177.5,15395.28094302554,5.0,3456,1
18,Hospital 1001,District 41,Instrument 3,1310.8,4692.0,26894.46508379888,5.0,210,1
19,Hospital 1003,District 10,Instrument 2,11553.833333333334,91292.8,23602.90322580645,6.0,42654,1
20,Hospital 1003,District 18,Instrument 2,55681.75,91292.8,102427.68189509306,4.0,9965,1
21,Hospital 1003,District 18,Instrument 3,55681.75,4386.35294117647,5397.134529147982,4.0,3151,1
22,Hospital 1003,District 20,Instrument 2,9832.75,91292.8,31891.211143695014,4.0,1295,1
23,Hospital 1003,District 20,Instrument 3,9832.75,4386.35294117647,36082.17345597898,4.0,240,1
